Country,Last
Afghanistan,20
Albania,23
Algeria,35
Angola,25
Argentina,35
Armenia,21
Aruba,52
Australia,45
Austria,55
Azerbaijan,25
Bahamas,0
Bahrain,0
Bangladesh,25
Barbados,28.5
Belarus,13
Belgium,50
Bermuda,0
Bolivia,13
Bosnia and Herzegovina,10
Botswana,25
Brazil,27.5
Brunei,0
Bulgaria,10
Cambodia,20
Cameroon,38.5
Canada,33
Cayman Islands,0
Chad,30
Chile,40
China,45
Colombia,39
Congo,40
Costa Rica,25
Croatia,30
Cyprus,35
Czech Republic,23
Denmark,56
Dominican Republic,25
Ecuador,37
Egypt,25
El Salvador,30
Equatorial Guinea,35
Estonia,20
Ethiopia,35
Euro area,42.9
European Union,37.8
Fiji,20
Finland,56.95
France,45
Gabon,35
Gambia,30
Georgia,20
Germany,45
Ghana,30
Greece,44
Guatemala,7
Guinea,40
Honduras,25
Hong Kong,15
Hungary,15
Iceland,46.25
India,42.74
Indonesia,35
Iraq,15
Ireland,40
Isle of Man,20
Israel,50
Italy,43
Ivory Coast,60
Jamaica,30
Japan,55.97
Jordan,30
Kazakhstan,10
Kenya,30
Kosovo,10
Kuwait,0
Laos,25
Latvia,31
Lebanon,25
Lesotho,30
Libya,10
Liechtenstein,22.4
Lithuania,20
Luxembourg,42
Macau,12
Macedonia,10
Madagascar,20
Malawi,40
Malaysia,30
Malta,35
Mauritania,40
Mauritius,15
Mexico,35
Moldova,12
Mongolia,10
Montenegro,9
Morocco,38
Mozambique,32
Myanmar,25
Namibia,37
Netherlands,49.5
New Zealand,39
Nicaragua,30
Nigeria,24
Norway,38.2
Oman,0
Pakistan,35
Panama,25
Papua New Guinea,42
Peru,30
Philippines,35
Poland,32
Portugal,48
Puerto Rico,33
Qatar,0
Republic of the Congo,40
Romania,10
Russia,13
Rwanda,30
Samoa,27
Saudi Arabia,0
Senegal,40
Serbia,10
Seychelles,15
Sierra Leone,15
Singapore,22
Slovakia,25
Slovenia,45
South Africa,45
South Korea,45
Spain,47
Sri Lanka,18
Sudan,15
Suriname,38
Swaziland,33
Sweden,52.3
Switzerland,40
Syria,22
Taiwan,40
Tajikistan,12
Tanzania,30
Thailand,35
Trinidad And Tobago,25
Tunisia,35
Turkey,40
Uganda,40
Ukraine,18
United Arab Emirates,0
United Kingdom,45
United States,37
Uruguay,36
Uzbekistan,12
Venezuela,34
Vietnam,35
Zambia,37.5
Zimbabwe,41.2